text,Preprocessed_text,Clustered
best and great app if give opption to add stop realy valuble,good great app add stop ,1
"Over the years, a bank card has been added. More than a week, it is impossible to choose a card payment. Requires verification after each trip. Verification fails.",bank card add week impossible choose payment verification trip ,0
This app is very good.,app good ,2
Great service 😘,great service face blow kiss ,2
😘😂🤗,face blow kiss tear joy hug ,2
"Simply I am saying I love this app but ""the map"" is not clear,therefore can't identify locations and vehicales correctly...plz fix this soon.I give you a hint *Develop the pickme map like UBER.Thank you.",simply say love app map clear identify correctly fix soon hint develop like thank ,0
Best,best ,2
The best taxi in srilanka,good taxi ,2
the you t yet,,
bad..,bad ,2
superb,superb ,2
not goo,goo ,2
good,good ,2
Good servicr,good ,2
good ☺☺☺,good smile face ,2
"Good in terms of transportation, but ordering food? Absolute worst experience. I thought this app could replace a home's domestic work, yet here we are, with an app full of bugs & crashes that makes apparent that we'd indeed got carried away",good transportation food absolute bad experience think app replace home domestic work apparent got carry away ,0
Cheep prices with comparing other taxi services.recommend for every one,cheep taxi recommend ,2
Pickme implemented a feature for drivers which will enable them to take hires even when they are currently on a hire if there are no other vehicles available. This has increased the time for a driver to arrive significantly and most drivers outright refuse to come AFTER finishing their current hire telling various reasons.,feature enable currently hire available time driver arrive significantly outright refuse come finish current tell ,1
👍,thumbs ,2
1st taxi app in srilanka if u give us a option to add stop and edit directions will be most help full and we need that option,st taxi app option add stop edit help need ,1
good job save money,good job save money ,2
good,good ,2
great,great ,2
This app is good and easy to use but the location seen on the google maps os wrong.Also they should add some safety features to the app.,app good easy use location see os wrong add safety ,0
takes long time for the food delivery. costumer will have to go starvation first before food is delivered.,long time food delivery costumer starvation ,0
good,good ,2
want to modify,want modify ,2
once i completed a trip the charge was 0 lkr.. driver had to call the hotline several times till he is going out of credit in his phone while keep trying. i contacted customer hotline and they keep saying that is a driver issue & needs to contact that hot line. finally had to wait arround one hour to get a support at mid night & went after agreeng with driver topay the amount by showing previous hires. it is totally dissatisfied how thir consumer hotline keep us waiting on the road at 12 night.,trip charge driver time till go credit phone try customer say issue need contact hot line finally wait hour support mid night show previous totally dissatisfied thir consumer road ,2
Nice,nice ,2
it consumes huge internet data more than 50mb each and every use within few minutes.in the last month it used 2.5 gb foreground data.I think this app is stealing user's details.better to get uninstalled and avoid this service.,huge data mb use month foreground datum think app steal user better uninstalle avoid service ,0
good,good ,2
Good,good ,2
Great job,great job ,2
very unprofessional drivers,unprofessional ,2
Was slow but to be honest very effective in finding an item I lost in a three wheeler. Thanks,slow honest effective find item lose wheeler thank ,2
she is good app,good app ,2
don't install because verry bad customer service,install bad customer service ,2
good,good ,2
nice,nice ,2
Best service pickme,good service ,2
good,good ,2
"I would rate this but unfortunately, gps sucks. The hire comes with in 10km when there are vehicle shown near by",rate unfortunately hire come km vehicle show near ,0
"Yesterday i made a booking, driver tried several times to finish trip but fail. from that time that trip is showing continue and i am unable to book another ride. I came Sri Lanka on business trip. I emailed on given id but no response. no back support so i am helpless.",yesterday booking driver try time finish trip fail showing continue unable book ride come sri business give would response support helpless ,2
convenient,convenient ,2
amaizing,,
very good,good ,2
good,good ,2
My first attempt to fetch a taxi through this app was a faliure. Need improvement. Fix the bugs. Make this more user friendly.,attempt fetch taxi app need improvement fix user friendly ,0
App is slow and still the map and the driver's location is not accurate.,app slow map driver location accurate ,0
S.G.K. LAKSHAN..........🔫🔫🔫,pistol ,2
good,good ,2
good,good ,2
good,good ,2
bad nougthy company,bad company ,2
bad service,bad service ,2
",v",,
new update sucks 👎,new update thumb ,0
really good ...... good service .....,good service ,2
so good,good ,2
good,good ,2
good,good ,2
Good service and can trust.,good service trust ,2
Very bad miter,bad miter ,2
best taxi hailing app ever!,good taxi app ,2
👍,thumbs ,2
thankz pickme taxi service...👍🚗🚗,taxi service thumb automobile ,2
awesome rides 👍👌👏,awesome thumb ok hand clap ,2
Good service,good service ,2
But... Hi...Please UPDATE Pickme App To Set Home Location With Home Photo...Than Pickme Drivers Can Easily Find Out Our Home...,hi update app set home location photo easily find ,1
"Revised the review. So far going good but still customer service is useless! Who the hell refunds an amt and transfers into pickme points?!! If the rider doesn't deliver food for dunno what reason, u need to refund the money back - and that too immediately - not in 17 working days!",review far go good customer service useless hell amt rider deliver food reason need refund money immediately work day ,0
very nice,nice ,2
good,good ,2
worst experience in food delivery 👎👎👎👎👎👎👎👎👎👎👎👎,bad experience food delivery thumb ,2
no expeeriance,,
awesome,awesome ,2
bike ride job,bike ride job ,2
good,good ,2
canot install to pickme food ride,install food ride ,0
good,good ,2
useful when in a rush and also when in a hunger ...it is safe to ride in their tuk tuks than in typical ones ..,useful rush hunger safe ride typical ,2
suresh,,
app getting crashed when selecting the loaction and confirm.,app get confirm ,0
I hate this app very high cost,hate app high cost ,2
the best taxi app in sri lanka.,good taxi app sri ,2
good service,good service ,2
They are good drivers,good ,2
"best service so far. sure it's got a few issues but what is perfect today.. pickme should introduce ""return trips"" it saves a lot of conversation time with the drivers and will encourage them to accept the hire coz it's both ways",good service far sure get perfect today introduce return lot conversation time encourage accept hire coz way ,1
bad app,bad app ,2
superb,superb ,2
jl,,
good,good ,2
good,good ,2
great,great ,2
xf,,
the Apple keeps crashing when I try to select a location which I have added to favourites,apple try select location add ,0
User friendly interface.,user friendly interface ,2
awesome,awesome ,2
vry bad serv for food,bad food ,2
good,good ,2
good,good ,2
very good service,good service ,2
It SUCKS,,
"There is a message coming up asking me to turn on ""Location""even though my location is ALWAYS turned on. I tired uninstalling and reinstalling the app, didn't work! this has been going on for more than a month now. i was hoping this may be a bug which could be fixed with a latest update. No luck so far.",message come turn location tired app work go month bug fix late update no luck far ,0
Perfect,perfect ,2
son of bich,son ,2
"Some times the actual price is higher than the given price range, so very unfair, last day i went on a three wheel when i booked, it showed Rs60-70. But when the trip finished it showed Rs 120 😡",time actual price higher give range unfair day go wheel book trip finish pouting face ,0
"I ordered food on pickme it's been 1 hour and 30 minutes since the order, no rider confirmed it nor did I get any call. When I called the hotline the answer is a rider has confirmed and will call. Still its showing as your order is cooking. Such a shame, this was my dinner order and they messed it, if they confirm the order tomorrow I am complaining and I will need compensation for the wastage of time and nuisance pick me has caused me. Such a shame, app is so full of bugs... Shame.",order food hour rider confirm answer show cook shame dinner tomorrow need compensation wastage time nuisance pick app ,0
good,good ,2
"Very difficuilt to find vechicles on Rainy Days , drivers switch OFF the phone 🤪 😠",find rainy day switch phone zany face angry ,0
Good,good ,2
👍👍👍👍,thumbs thumb ,2
Need a separate app for FOOD. using the same app sucks since it takes too long to load and crashes often when we select the food tab 😬,need separate app food long load select tab grimace face ,0
good,good ,2
Excellent....I love pick me,excellent love pick ,2
best app,best app ,2
"I have suggested in Twitter what more to do in here. but overall, good and appreciate this app.",twitter overall good appreciate app ,1
good service. thanks,good service thank ,2
awesome,awesome ,2
Ex,ex ,2
pick me taxi service is good but i don't know y my app always crashing and not responding. Automatically it stop. pls give me a solution to fix it,pick taxi service good know app automatically stop solution fix ,0
good,good ,2
good,good ,2
too slow.,slow ,2
super,super ,2
"our order was wrong and the food was really bad. when we complain, their reply was they are just platform provider, not reliable for missing items or bad quality food. i mean why do they take a platform if they aren't reliable. they can't even take care a customer. they should be reliable for the food they bring. its their duty to bring the right order. funniest part was after their reply they sent complaint has been closed without considering us. we can't even reply back. I donot recomend them.",order wrong food bad complain reply platform provider reliable miss quality mean care customer bring duty right send complaint close consider ,0
really bad,bad ,2
this app very good,app good ,2
worst,bad ,2
"Safe, but are you sure that this is 24hours?? Cuz I was searching for vehicles for more than one hour and it's an emergency, but there wasn't a single trishore available and I tried Buddy, but all drivers are far away..tbh I'm really disappointed.",safe sure hour search emergency single available try buddy far away disappoint ,0
good luck,good luck ,2
fabulous service,fabulous service ,2
👌,ok hand ,2
niyamai patta labai pickme...,patta ,2
xd,,
PickMe food no way to contact driver,food way contact driver ,0
good,good ,2
😕😕😕 App eka download krana data aparade...... Service ekanm anthimai......,confused face app datum service ,2
better from the best,better good ,2
kinistan kini,,
Superb service 👍👍👍,superb service thumb ,2
best,best ,2
m?mA............,ma ,2
N7265.app.goo.gl,app goo ,2
It is a good app for transportation,good app transportation ,2
"This app is helpful ,but unfortunately not all the time. I'm unable to depend on this for a vehicle at an urgent moment, because it always shows that there are NO VEHICLES! why is that happening most of the time?",app helpful unfortunately time unable depend vehicle urgent moment no happening ,1
good,good ,2
good service u r providing us,good service provide ,2
safe drive,safe drive ,2
good,good ,2
super,super ,2
superb app,superb app ,2
Not helping much. difficult to diagnose location right,not help difficult diagnose location right ,0
Crew crew crew 9 of,crew ,2
Careless people and unprofessional drivers are work with them you can go for cheep price with cheep experience. Not recommend at all.,careless people unprofessional work cheep price experience not recommend ,0
👍,thumbs ,2
"pick me funds terrorism in sl, don't use this",pick fund terrorism use ,2
PickMe the best. All other app are useless. Specially yogo,best app useless specially ,2
wow amazing services in srilanka,wow amazing ,2
app is good but need some options like customers comments when complaining about drivers because some reason are not matching with your options. and wrong roots when pickups. ( in some times your map's root cannot reach the exact location ) and latest issue is app is not loading some times saying not available in my region.,app good need like reason match wrong time map root reach exact location late issue loading say available region ,1
Awesome,awesome ,2
very useful,useful ,2
good,good ,2
waste of time,waste time ,2
Best,best ,2
✌✌✌👌👌👌,victory hand ok ,2
moorthi pickme,,
327/5 janatha mawatha b gamuwa,,
disrespectful staff,disrespectful staff ,2
App is crashing after the new update on 9/7/2019,app new update ,0
latest update causes the app to crash. cannot proceed beyond rating of last trip.,late update app crash proceed rate trip ,0
hello pick I feel dissapointed about your promo it always tells I'm not legible for your promo but you always send messages to my account kindly review this matters thanks. kindly do something about your promo sometimes it is applicable sometime it won't kindly check it out.,hello pick feel legible send account kindly review thank applicable check ,0
Dont install. Use a public bus. Sit and go with abus. Save your money and time. Good luck.,not install use public bus sit save money time good luck ,0
The app doesnot show the relevant route after new update.please fix it.,app relevant route new update fix ,0
good,good ,2
Convenient.,convenient ,2
good,good ,2
know,know ,2
bad,bad ,2
"Don't use this service. Their drivers are cheating people. They try to go trips from the longest root with the intention of earning more cheat money. I would like to give one advice to pickMe, please introduce fixed price instead of approximate price. Because your drivers are cheating your valuable customers. That definitely a black mark for the company reputation. Thank You",don use service cheat people try root intention earn money like advice introduce fix price instead approximate valuable definitely black mark company reputation thank ,0
good,good ,2
good,good ,2
good,good ,2
xslant,,
superb driving,superb driving ,2
fair,fair ,2
the app is not working,app work ,2
super cool taxi service,super cool taxi service ,2
Customer compaint handling is 0,customer handling ,2
very bad drivers no one is accepting a trip if there is off indiciplene drivers too hate it,bad trip hate ,0
help terrorist organization,help terrorist organization ,2
👎👎,thumbs ,2
worst service,bad service ,0
Gud,gud ,2
👌,ok hand ,2
"app is good but it needs to improve. gps positiong is very poor. driver arrives earlier than the image on map.prices go very high if you put a same route twice,or close and reopen the app. still uber is great even they had fewer vehicles.you should use but don't rely on this app.",app good need improve poor driver image map high route twice close reopen great use rely ,1
Pickme Food Cant Track Where Is The Driver At Its Not Showing Me,food not track driver show ,0
good app. some functions doesn't work in kandy. hope they work soon.,good app work hope soon ,0
good,good ,2
Ok after the uber eats boom. Pick me food is suffering always their is an unknown error preventing me from ordering food. I tried several times always it says unknown error occured. So no more pick me food i guess.,eat boom pick food suffering unknown error try time guess ,2
plz dont send msg to us about your promotions . we are not using this app. there is no any option to block or reply to that msg. it is a violation of our privacy .,not send app option block reply violation privacy ,0
best cab service in the universe,best cab service universe ,2
this app is good,app good ,2
but need to update,need update ,1
Good,good ,2
I faced the worst with this. Was in a hurry and booked a taxi. Though it asked me to confirm the ride and also the pick up location it had redirected me to the home page which is asking to enter the destination. Due to this i had to another taxi,face bad hurry book taxi confirm ride pick location home page enter destination ,0
good taxi app,good taxi app ,2
good job.pls add tuk also to the book later.👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,good job add book later thumbs thumb ,1
lovely app!!,lovely app ,2
good,good ,2
this is poor app. dont use it,poor app not use ,0
🙁,slightly frown face ,2
good conditionnew battery,good battery ,2
super,super ,2
"hey pickme! you need to educate your driver before let them go to work!! too many driver don't understand how to operate the maps, pick up place, and so on",hey need educate driver let work understand operate pick place ,1
terrible,terrible ,2
great app,great app ,2
good but no vehicles in morning,good morning ,0
opponent'sp,opponent ,2
very useful,useful ,2
good service,good service ,2
PickMe trucks is not worth. They call and tell u there are no truck available at the last minute for a booking done 24h ago... waste of time.,truck worth tell available minute booking ago waste time ,0
"I would say, app is very convenient & you can enjoy your travel with PickMe",app convenient enjoy travel ,2
ft,,
best service,good service ,2
good,good ,2
"Wow😄,creaters of this app make more apps☺",wow grin face smile eye app ,2
uninstalled,uninstalled ,2
My mobile no has blocked permenantly due to cancelations.but all the cancelations has been done for drivers requests.can't contact for unblock my number.what should i do?,mobile block contact unblock number ,0
terrible....,terrible ,2
good,good ,2
very good app,good app ,2
This app is not worth Can you please update the driver movement on navigation to pickme app... Ubereats app is wonderful... Try to understand idiot,app worth update driver movement navigation wonderful try understand idiot ,1
best,best ,2
lost,lose ,2
better app,well app ,2
"I FEEL there service is good, but poor Driving experience of most Drivers.. but I like this company...",feel service good poor driving experience like company ,0
good,good ,2
ffg,,
සුභ දවසක්,,
good,good ,2
good,good ,2
pick me funds islamic terrorism in sri lanka dont use,pick fund terrorism sri not use ,2
worst experiences these days,bad day ,2
"I cannot open PickMe. It always says ""location update failed. Please enable location services."" My location is always enabled. Still it gives the error message.",open location update enable error message ,0
did not get verification text. Took too long to set up account.,verification text take long set account ,0
good drivers,good ,2
One word of advice use uber better and quality service and much more availability of drivers,word advice use well quality service availability ,2
good,good ,2
Without going through the app how cam I,go app cam ,2
best,best ,2
gud,gud ,2
best,best ,2
best,best ,2
gud,gud ,2
gud,gud ,2
gud,gud ,2
awsome,,
Jj di in hez,di ,2
very useful,useful ,2
No one taxi service in sri lanka,no taxi service sri ,2
Great App,great app ,2
AWISSAWELL the r,,
better to go in public transport,better public transport ,2
Best wishes,best ,2
very bad taxi in sri lanka,bad taxi sri ,2
👎,thumbs ,2
reergh,,
supri a,,
"I didn't find my trip in the app so I couldn't submit a complaint. I had to submit a complaint after many trials by email and messenger. Finally I was refunded the extra amount I have paid, but still I see that I am overcharged!!",find trip app submit complaint messenger finally extra ,0
Switched to Uber due to the recent allegations on Pick Me. Country First.,switch recent pick country ,2
Best service and always on time.,good service time ,2
this app helped the recent terrorist attack happened in sri lanka by funding them...,app recent terrorist attack sri ,2
Very Good,good ,2
me and my colleague booked another app and went through shortest route to the destination. pick me using very longest route in their location map to collect more fare amount. this is cheating no. we uninstalled the pickme app.,colleague book app go route destination pick location map collect fare cheat uninstalle ,2
Good service,good service ,2
Very bad experience 🙁,bad experience slightly frown face ,2
"faster, safer, Sri lankan",faster sri ,2
"I uninstalled this app for 2 reasons: 1. When you order food or want a taxi, the app uses a ton of data for some odd reason, which is quite abnormal. I ve used uber as well which consumes like 1/5th of pickme. Most of my friends have also complained on this. I don't understand why so much data is required for a static map and bit of GPS. 2. On pickme food, when you place an order and the restaurant accepts the order it takes ages to assign a rider (maybe the rider population has shrunk).",uninstalle app order food want taxi ton data odd reason abnormal like th understand datum static map bit place restaurant assign rider maybe population shrunk ,0
great,great ,2
dhammika we era sing he,era sing ,2
Doesn't download fast and has a lot of bugs,fast lot ,0
app is ok. but they funded an extremist sharia university in sri lanka ... so I am deleting the app :P,app fund extremist university sri ,2
fast,fast ,2
Very bad experience I switched to uber now.,bad experience switch ,2
good,good ,2
it always fuks up with gps,gps is bad,0
it good,good ,2
Excellent 👍,excellent thumb ,2
🏷🏷🏷🏷🏷👫🏿👬🏽🙅🏼‍♂️🙅🏽‍♂️🇬🇦,label man woman hold hand dark skin tone medium gesture no light ,2
Please dont use pickme anymore.,not use ,2
"Talking about PickMe foods, the latest update does not showing the biker's location.",talk late update show location ,0
meka uninstall karanna masha allah😍😍😍😍😍,masha smile face heart ,2
useless app,useless app ,2
worst service. irresponsible,bad service irresponsible ,2
good and trustworthy drivers...,good trustworthy ,2
👎,thumbs ,2
"ංංඬ්ංංඩ්ංඩ්ක්ක්ක්ඩ්ඬ්ක්ක්ක්ඩ්ංඩ්ඩ්බ්ක්ෆ්ඩ්ක්ක්ංෆ්ංක්ඩ්ක්ංක්ංෆ්ංක්ඩ්ක්ක්ඩ්ක්ෆ්ඩ්ව්ට්ඩ්බ්ෆ්ඩ්ංංෆ්ක්ක්ක්ංක්ෆ්ඩ්ංහ්ංක්ංංංක්ඩ්๬,ඩ්,ඩ්ංංස්ංඑඩ්ඩ්ක්ෆ්ක්ක්ක්ක්ඩ්ක්ෆ්",,
"Easy UI """,easy ,2
Pick me Food - when i try to delete the saved locations i get message validation error  Samsung J5 2016,pick food try delete save message validation error ,0
islamiyasMayl,,
super app,super app ,2
"r see we a zee£3#¥eisiiq Zuhu,def*I add Wessex Water my, a l 3 ,wW ZZ Dr df",zee add water ,2
this sucks,,
was good. Good Driver.,good driver ,2
good,good ,2
"very useful no trable value for money, very quick no hassle. no arrgive with driver so comfortable thank you",useful value money quick hassle driver comfortable thank ,0
ur ur uhh,ur ,2
Don't use muslim service use srigo,don use service ,2
Uninstalled,uninstalled ,2
"worst experience. pickme food service is very very poor , they take long periuod of delivery time, cant review the delivery person & resturents, if any urgent we cant cancel the oders.👎👎👎",bad experience food service poor long delivery time not review person urgent cancel thumb ,0
good,good ,2
good.,good ,2
not comfortable speed level slow pick me is on sri lanka only it's not in out of Colombo,comfortable speed level slow pick sri ,0
good,good ,2
"I think there is a bug in the app. I received the promo code but when I entered it in the app, it displays 'You are not eligible for this promotion'. This is the second time I am getting this problem in this month. Please fix it soon.",think bug app receive code eligible promotion second time get problem month fix soon ,0
Your app is not working properly on my mobile phone. App gets restarted every time when Iam going to confirm pickup location.. Please make sure to fix that error unless I 'd have to unstall this app,app work properly mobile phone time go confirm pickup location sure fix error ,0
this is the worst app I've ever seen. i waited more than 2 hours for ride today . and driver is on another hire.,worst app see ride today driver hire ,0
amazing app. extremely helpful and works as expected,amazing app extremely helpful work ,2
ok,,
not working properlly,work ,0
KADURA...WATTA,,
it's a good job,good job ,2
rathmalana,,
මට කූපන් එකක් ඇවිල්ල තිබ්බ රු 100 .ඒ කෝඩ් එක ගහල ට්‍රිප් එකක් ගිහින් අවසානෙ ඩ්‍රයිවර් මට බනින්න ගත්ත කලින් කෝල් කරල කියන්න ඕන කියල කූපන් එකකින් යනවනම්.මොන විකාරයක්ද මේක.මේව සම්බන්ධ ව දැනුවත් කරල නැද්ද ඒ මිනිස්සු ව.ඒව අපිට කියල හරියනවද? ආයෙ මේක යූස් කරන්නෙ නෑ,,
"waiting calculated when we stuck on trafic,but yo go taxi only charged for our journey distance.",wait calculate stuck yo taxi journey distance ,0
"very very very warst app you have to give the option to pick me food drivers to cancel if the food is not available otherwise they asked us can you eat what is available, how can they change our selection. and inthe pick me drive i used my card ond driver accept my trip start trip and end trip, i complain it by call and app also but it i didn't get refound and i didn't get any reply from them so for the customers - don't use you card on this app",warst app option pick food cancel available eat change selection drive card driver accept trip start end complain refound reply use ,1
Very good,good ,2
very useful,useful ,2
bad one,bad ,2
worst service ever!!!,bad service ,2
bad service,bad service ,2
SORRY MUSLIMS.,sorry ,2
my husband recommend this app and service,husband recommend app service ,2
very secure and functional,secure functional ,2
Its a good app but the thing I hate about this app is that most of the time there are no vehicles to catch. During emergencies its so annoying. and I have never gone in a budget taxi cuz all the time it says drivers are busy. If you can add more drivers this app would be great. And also the price rates should be watched some are pretty unreliable. though am a loyal customer I get only a few offers. and also you all might have to add more bikes not only in Colombo area buy also in places dehiwala,good app thing hate time catch annoy go budget taxi busy add great price watch pretty unreliable loyal customer area buy ,0
Best hailing app,best app ,2
love the app! Its has all the features that an app of this sort is supposed to have!,love app sort suppose ,2
I have a dolphine van for hire vehical number is 251 _2591 with driver,van hire number driver ,2
"Good, easy and reliable.👌👌🤘",good easy reliable ok hand sign horn ,2
Best app in SL,best app ,2
terrible experience with pick me food. please do not accept the orders if drivers are unavailable. have been waiting for 2 hours and is unable to cancel the order since it is placed. please improve your customer service hotline as it only gives an automated response and we are unable to reach anyone. we are also unable to place complaints till the trip is done which is a stupid design. please respond to this message very disappointing,terrible experience pick food accept unavailable wait unable cancel order improve customer service response reach place till trip stupid design respond message disappointing ,0
good,good ,2
Excellent,excellent ,2
I placed an order yesterday using pickme food. it showed me that my order has been accepted by the restaurant. but i never received my order. this app doesn't work properly now,order yesterday food accept restaurant receive app work properly ,0
excellent,excellent ,2
Worst app ever when u order foods. can not cancel the cancel button never works. even after around one hour. no one pick the order even.,worst app order cancel button work hour pick ,0
your pick me food is very slow I was ordered before one hour that's not delivered to me,pick food slow order hour ,0
Present rates are reasonable.,present reasonable ,2
good,good ,2
pvde,,
Very poor customer service.,poor customer service ,2
supper app,supper app ,2
not delivering to minuwangoda area,area ,2
Quality service,quality service ,2
good service,good service ,2
good,good ,2
i got good service. i stop with the criminals,get good service stop ,2
kari thamibiya,,
Location accurately is worst. Poorly build app.,location accurately worst poorly build app ,0
I have got a best experiences with pick me,get good pick ,2
too much price,price ,2
best hailing app in srilanka,best app ,2
waste app,waste app ,2
good service,good service ,2
"the rides in this app is pretty good but food delivery is more frustrating...spends more time to find a driver..n cant even cancel the food delivery,even though the driver isn't ready..so frustrated",app pretty good food delivery time find driver not cancel ready ,0
crashing at the openning all of a sudden.,sudden ,0
we cant even setup regular destinations,not setup regular ,0
No boat tours idiots who asking for boats 😂,no boat face tear joy ,2
Best hailing app in srilanka,best app ,2
In negombo there is not pick me food,pick food ,2
good 😀😀😆😀,good grin face grinning squinting ,2
bed drivers,bed ,2
bad app,bad app ,2
"Unreliable app. The payment system is particularly troublesome. Decided to uninstall after an unauthorized points deduction (payment is set to card anyway). Also, ths ""customer service"" line is really just a pre recorded set of instructions to use the app for lodging complaints, which doesn't serve the purpose here anyway and is highly unreliable. No longer a substitute to Uber, but maybe worth keeping as a backup.",unreliable app payment system particularly troublesome decide unauthorized deduction set card customer service line use lodge serve purpose highly no longer substitute maybe worth keep backup ,0
easy to use,easy use ,2
gg,,
actually it is good for girls. because untime pick me this app is more useable and trustworthy..,actually good pick app trustworthy ,2
අල්ල මවපු ඇප් එකක්,,
good,good ,2
good,good ,2
good fast safty,good fast ,2
Deleted,,
most use full app for immediate journey. but it is available only western province.,use app immediate journey available western province ,1
Cheating on credit card transactions,cheat credit card ,0
i hv been a loyal custmr 4 like 3yers nw. u give others discout and i hvnt recived any sms since 3mnts. please any 1 help me out. other than tis i will chang 2 uber. hope ur supprt team can undrsnd this. if not u just lost a good custmr,loyal like yer mnt help chang hope ur team lose good ,1
This app and service are cheating 😠,app service cheat angry face ,2
very bad,bad ,2
worst app ever,worst app ,2
Hate this app,hate app ,2
Useful app for transport i used.,useful app transport ,2
"Hi! Absolutely enjoyed my pick me experience. However, I forget to rate or give feedback on drivers soon after the drive. When I try to give feedback later I don't find a method to do so. Please provide a solution. That is, a method to give feedback on drivers sometime after the trip. Thanks. PickMe is great. Keep improving. :)",hi absolutely pick experience forget rate feedback soon drive try later find method provide solution trip thank great improve ,2
very fast app,fast app ,2
bad app,bad app ,2
Very bad service wrost app ever,bad service app ,2
"Nothing wrong with the app. But drivers have gone back to the habit of declining card payments, groaning if there's a promo code active and so on. Either change the way you pay your drivers or fix their attitudes",wrong app go habit card groaning code active change way pay fix ,0
good,good ,2
gud,gud ,2
worst app after the update. I ordered food but I didn't get any response from riders and I couldn't cancel my order also.I waited for 1 hour,bad app update order food response cancel hour ,0
excellent and good perfect travelling,excellent good perfect ,2
Worst App ever.. Malfunction most of the time!,worst app malfunction time ,0
Very good,good ,2
apcte aetw,,
super,super ,2
goob,,
very good,good ,2
good and safety,good safety ,2
"its says that the app will not open without enabling location services, while location is already enabled, app doesn't open.",app open location ,0
don't use this app.drivers a very bad habitats..I never use ageing,use app bad ,2
superb app in srilanka,superb app ,2
disgusting,disgusting ,2
worst service,bad service ,2
werst service i ever seen,service see ,2
Excellent service,excellent service ,2
it's not clearly work for mobile data. before the update it's worked for poor internet connection clearly. now doesn't work for mobile data,clearly work mobile datum update poor connection ,0
bad taxi,bad taxi ,2
not good,good ,2
unprofessional drivers mostly because of racism and facism.,unprofessional racism ,2
"i downloaded more than 3 times... when I book a three wheel it says ""unfortunately pick Me has stoped"" pls fix this😠",times book wheel unfortunately pick fix angry face ,0
App commission is too much. Bad earnings,app commission bad earning ,2
I'm NOT HAPPY about PICKME BECAUSE IT'S MUSLIM!!!!! I HATE IT!!!,not happy hate ,2
good,good ,2
nice user friendly app forever..,nice user friendly app forever ,2
uninstalled due to their bad behaviours in srilanka.please include the procedure to stop receiving promotionals msg for your reply,uninstalle bad include procedure stop reply ,2
"uninstalled the app due to poor conditions in app, cars, and threewhelers... bye bye pick",uninstalled app poor bye pick ,0
Not gonna use this anymore who are behind the terrorists 😏,not use smirk face ,2
very good sevice,good ,2
not use again,use ,2
Good for transportation,good transportation ,2
දැන් කිසිම කෙනෙක් PickMe යන්නැ..,,
kapila Ruwan Rajapaksa,,
Very efficient,efficient ,2
Drivers decide they will not pick up without cancelling or informing.,decide pick ,2
Good app for traveling everywhere,good app travel ,2
good service,good service ,2
Wonderful,wonderful ,2
bad,bad ,2
expensive,expensive ,2
මෙතුවක් ලබාදුන් සේවාවන්ට ස්තුතියි 🙏 අර Promotion මේ Promotion කියලා එවන මැසේජ් ටික නවත්තගන්නේ කොහොමද කියන්න පලුවන් නම්. 👍🤗,fold hand promotion thumb hug face ,2
good,good ,2
very darty,,
useless,useless ,2
best app ever seen,good app see ,2
good app,good app ,2
super service,super service ,2
"pickme is looting Customers, fruads",,
good taxi company srilanka 🇱🇰 ..100% srilanka...,good taxi company sri lanka ,2
muslim😂,face tear joy ,2
very bad app.,bad app ,2
uninstall to save my money,save money ,2
useless app.,useless app ,2
so far so good.,far good ,2
dont download this app.... download the taxime... cangaro cabs.... please help to grow sinhala cab service ..,not app help grow cab service ,2
Hamba business,business ,2
can you fix the issue where the driver cant end the meter on time cuz it gets stuck.. everything else apart from that is perfect,fix issue driver not end meter time stick apart perfect ,0
මුස්ලිම් පකවල්,,
very good thanks,good thank ,2
"just removed app from my phone, all of you join me. lets protest against them.",remove app phone join protest ,2
Good,good ,2
pickme food delivery services is not working for Malabe,food delivery work ,2
pickme is really good but I would like an update where you get an otp from the customer and then the meter starts because every time I use this mode of transportation I have to pay a large amount and the drivers say it is the waiting charge. how can they start their even before we've got into the vehicle and started our journey? I would really appreciate if you could bring in this update soon,good like update customer meter time use mode transportation pay large wait charge start get vehicle journey appreciate bring soon ,1
need to enable promo code always,please add more promo codes,1
